image_id,PredictionString
000108,0.950259 11 274.468597 138.011429 407.419983 234.173523 0.945272 11 1.451313 103.257004 177.715775 268.887207 0.843304 11 1.431748 103.051186 270.685303 269.878601 0.525601 11 46.186798 104.135460 174.049194 196.351440 0.924944 17 0.365809 60.257347 445.336334 374.782837
000111,0.786112 13 186.614624 184.388275 230.194458 219.424866 0.793752 13 139.924240 183.011826 188.222153 221.170624 0.500782 13 154.495560 187.006699 189.588089 220.282272 0.574836 13 286.567047 182.045013 321.400604 210.967056 0.888284 14 162.426270 175.610703 185.932251 217.213638 0.876128 13 82.464142 188.796005 139.740753 225.879150 0.918507 14 204.035812 176.139282 226.871368 214.905777 0.855756 14 105.239944 182.728134 127.310860 219.193604 0.911777 14 253.087875 177.598114 276.119598 211.895477
000114,0.782092 7 165.234146 45.790001 363.313141 213.797424 0.555003 8 1.459375 0.895914 500.401672 276.906647 0.764040 8 3.911227 0.919662 391.538025 278.077881 0.912532 7 165.499893 46.240860 433.752747 275.031708
000115,0.946106 2 2.580224 228.336182 184.205200 435.748413 0.796519 8 2.161816 2.177089 278.660828 499.041107
000116,0.838799 8 35.361004 195.003296 236.730957 360.810059 0.600281 15 1.878390 102.329628 83.515160 202.485779 0.767389 15 1.964726 102.363029 82.644058 269.373047 0.959811 15 143.314041 95.302048 209.217865 202.824387 0.942278 8 0.874080 217.462845 35.543823 306.479919
000119,0.949075 7 105.740112 71.974846 310.182983 257.168945
000124,0.533192 14 187.044968 24.888075 238.999741 92.544334 0.803173 19 152.832626 78.915794 254.865143 195.447281 0.978916 14 1.301978 6.697135 84.135620 140.068314 0.786530 8 331.691589 169.641571 401.213074 374.428864 0.564242 19 157.489227 85.600723 230.726730 187.294022 0.784915 19 81.151711 86.246506 136.321716 161.881119 0.983139 14 186.111496 25.362032 250.491089 117.480461 0.658772 14 0.818543 5.440034 87.172348 234.377640 0.924455 19 1.656883 132.689056 109.589836 256.994171 0.736402 15 63.942104 0.862688 183.785034 151.175949 0.988208 14 54.538475 12.507107 383.887634 374.505188 0.527245 8 190.339386 167.694717 398.286102 375.167114 0.926323 4 141.407669 85.122520 158.129044 148.536423
000126,0.928703 8 229.686417 117.096848 262.660583 141.505157 0.874152 8 95.380432 116.206879 138.826263 139.183182 0.783951 8 353.043182 119.241486 428.627045 152.201874 0.639916 8 346.849976 116.863136 380.861115 151.746384 0.961321 8 305.324432 118.742378 353.355408 156.304733 0.977962 14 42.389950 97.462608 82.529053 133.485428 0.944567 10 76.165047 125.455162 257.591736 156.557266 0.621006 8 10.515500 101.107208 41.995186 127.692757 0.911920 8 34.876534 115.161369 83.118095 154.509689 0.960183 8 109.490974 124.553383 181.526169 155.919525 0.823377 8 1.153498 117.544945 29.966030 155.064362 0.969135 8 253.807480 121.190491 293.112396 156.367645 0.910930 14 29.580381 99.391998 49.541492 127.763969
000127,0.990812 14 50.377609 20.132538 298.407471 373.977081
000128,0.978876 14 319.577332 208.426102 342.534424 288.988220 0.912111 14 26.810556 206.462265 41.463921 264.464539
000135,0.989868 6 182.471603 131.382370 299.895447 174.320801
000136,0.908156 7 295.138336 137.688019 354.425446 180.041534
000137,0.968229 6 63.546993 431.131683 109.736000 482.194031 0.741974 14 85.197815 356.370361 93.808311 392.109650
000139,0.974796 1 117.997658 77.086372 245.965042 186.921570 0.779651 14 0.973266 114.665390 98.212379 222.798248 0.983640 14 156.936829 37.360134 263.658905 133.564163 0.565504 14 150.352295 36.449345 263.422150 151.098267
000144,0.973222 4 248.584961 160.334763 268.256287 214.830978 0.952162 14 336.448608 5.741690 498.797424 332.180450 0.530289 8 331.915680 231.479721 472.562805 332.841858 0.545521 8 330.699402 201.552353 469.006165 332.289246 0.981661 4 223.869965 192.492554 249.447067 276.171173 0.986625 14 163.827591 66.548172 282.582916 200.022308 0.878682 14 339.004364 0.519426 429.385986 160.100204 0.985864 14 1.234204 98.589966 113.362335 333.201233 0.971564 10 131.762405 180.436020 473.458588 333.726135 0.600984 4 331.082489 202.087570 356.863464 265.506927 0.620025 8 389.091492 226.722961 471.730713 332.473083 0.652228 4 239.281937 195.653946 261.982666 268.592682 0.635806 14 332.649170 1.369079 489.442993 275.228119
000145,0.957336 18 48.082890 90.224579 369.802917 291.555817 0.780573 14 229.689316 154.020294 262.998566 195.576447
000148,0.952246 2 121.608452 110.795540 425.911255 305.714478
000149,0.966534 15 100.009460 0.488609 312.871246 363.454468
000151,0.730887 4 102.654343 153.819366 246.676285 265.947296 0.980648 14 1.074616 46.348007 249.883972 407.318420
000152,0.964949 6 414.883331 68.377396 499.763763 109.869850 0.985825 6 58.924297 73.871597 125.617561 109.257050 0.985539 6 113.410355 54.049511 406.793121 209.306061 0.986342 6 301.546051 67.635956 421.127563 102.066055
000155,0.613551 14 147.596832 252.982498 201.386780 423.082520 0.742013 14 147.421906 252.410477 197.470596 357.693146
000157,0.588498 7 292.217773 120.122986 369.924652 161.635864 0.847678 8 37.509285 27.874989 399.014893 189.238556 0.561335 7 155.422928 116.168602 368.353271 161.393127
000160,0.784777 19 315.692383 62.958160 393.678925 106.442871 0.962036 17 3.171876 161.681091 341.036804 250.290268
000166,0.591432 14 1.349975 148.034271 28.902594 178.063660 0.981987 14 0.966335 113.247467 22.372084 179.166931 0.980301 14 241.903351 118.463615 287.864166 148.043762 0.992141 14 68.464020 76.796829 164.454376 160.711502 0.944170 12 48.751682 107.776352 223.112885 218.902771 0.980719 14 323.087097 114.027199 351.871246 187.738678 0.911167 14 26.347269 117.881599 46.281864 150.719498
000167,0.937976 11 1.768172 9.383373 500.475403 249.277359
000168,0.972872 12 78.998398 125.832657 151.190002 463.202240 0.981336 14 54.805485 101.906799 165.795486 310.857941
000172,0.900775 6 26.002333 34.855904 402.276398 211.128983
000175,0.579870 16 12.711629 18.842712 430.857178 184.916656
000176,0.595936 16 0.897730 209.917480 39.344074 279.558777 0.606720 16 1.840408 210.889709 64.309654 283.230927 0.801285 16 29.106464 139.530716 105.385521 282.639008 0.702547 16 117.071465 155.818085 190.607452 288.125580 0.774995 16 187.670624 218.324860 213.703903 273.419464 0.516953 16 1.216256 210.102112 64.957375 282.541718
000178,0.987470 4 215.507706 55.571705 257.223999 169.233627 0.911824 4 81.741600 60.632988 143.733398 164.617676 0.745315 4 296.050232 40.364479 323.911987 113.496223 0.958201 4 298.802612 39.103630 321.731323 85.347710 0.981148 4 255.740143 41.023045 297.125244 117.937981 0.677656 4 173.114243 57.470871 198.356659 104.206268 0.785349 4 91.158905 47.712135 158.152252 163.620651 0.981445 4 150.474396 43.937340 184.893524 121.963074 0.832457 4 106.366997 49.348789 152.115204 123.475594 0.814352 14 0.996646 -0.356097 90.158806 147.480469 0.892719 10 5.866751 39.657711 442.714203 251.011444 0.983073 4 316.120941 48.128586 353.891998 138.922592 0.849069 4 87.447060 48.944084 153.107590 164.166412 0.933006 4 183.824387 53.620728 211.442856 110.260651 0.983704 4 185.664505 52.149738 221.836777 163.506744 0.835553 4 250.624924 40.955002 300.594116 140.619324 0.705801 4 100.412971 49.741814 144.738312 118.036148
000179,0.545857 3 225.216949 424.235046 275.511414 463.336945 0.728746 3 225.886353 423.110535 264.378937 465.426208 0.802398 3 63.082378 20.648108 228.866577 490.175354 0.935245 3 1.673162 415.564301 60.590061 477.394165 0.625895 3 226.436157 421.414062 275.154694 464.157349
000181,0.691962 8 185.566681 162.325684 306.096436 279.057922 0.713247 14 18.410652 99.271599 194.955017 226.069748 0.501183 14 119.339241 118.420280 267.646301 277.801392 0.621973 8 213.882828 129.587021 284.923218 166.821335 0.975302 14 239.918137 120.662727 303.839355 165.081131 0.930240 14 122.372864 116.600800 222.200089 212.250885 0.785180 8 212.009079 127.830238 331.087158 249.049225 0.692120 14 17.667419 100.558891 254.403915 278.187195 0.827266 14 18.378817 98.899597 241.835388 278.767822 0.659552 8 313.309967 164.967697 383.423737 246.095047
000182,0.982986 14 119.473343 35.380428 325.078430 280.441711
000183,0.855764 11 67.332329 1.977000 498.491455 255.138336
000185,0.834165 19 234.509247 200.208038 266.825165 244.847687 0.969721 14 139.643082 180.245316 206.757309 285.268341 0.973343 8 171.903336 214.312195 210.238327 289.047943
000186,0.950693 2 48.479862 34.673225 230.272324 240.002411
000188,0.983021 6 399.815979 87.375664 499.602325 124.778297 0.902742 6 60.612617 84.602142 142.449020 116.313431 0.979290 6 1.756802 83.790504 155.930405 117.434341 0.984424 14 28.036486 69.147018 66.193031 125.260307 0.810796 5 98.685440 73.135010 495.294739 121.147018
000191,0.981452 14 101.627243 243.606247 116.279236 295.961578 0.972714 14 122.571457 245.597015 134.228577 297.776093 0.993973 14 17.451382 183.792389 89.951424 499.388306 0.994923 14 133.663284 232.679794 187.699463 439.505035 0.974525 14 186.388916 225.503235 204.185974 433.087982 0.966278 14 81.637268 240.936432 94.234009 293.352112
000195,0.843321 5 9.351194 20.807852 420.696045 366.482452
000196,0.965434 8 1.714785 209.099869 63.697353 362.997437 0.670176 17 321.294983 256.750488 436.549103 375.450745 0.536536 10 27.459160 219.566193 293.824921 375.033173 0.877571 8 1.425514 177.231400 57.782486 272.428345 0.978071 8 64.897461 162.998474 150.361298 297.489532 0.978771 8 236.771347 156.028351 306.405182 259.066803
000197,0.953428 6 29.027016 79.769798 407.209412 261.239563 0.935335 6 26.908636 26.103079 411.580414 280.899872
000199,0.879105 2 80.558495 63.311684 380.295166 271.762146
000201,0.788276 14 383.494110 28.310730 406.351776 54.086384 0.738258 13 328.880951 46.280579 379.528625 95.445549 0.831918 14 303.926300 21.510923 378.687317 92.827972 0.983081 14 181.597382 51.264080 226.719528 84.059814 0.952393 14 266.634827 58.772556 383.350739 180.277191 0.628197 13 252.741837 106.476868 374.706055 193.359711 0.562367 13 253.650452 46.264801 381.509766 191.911102 0.970407 13 254.699799 106.912727 375.839630 236.214462 0.891190 14 306.855804 22.179352 372.581421 58.049431 0.960059 14 271.105560 58.488186 384.024933 122.878494
000202,0.951797 4 383.403168 84.043976 456.529602 279.378296 0.987487 14 1.967937 9.690978 262.554688 280.454529 0.980651 14 187.678787 61.782135 392.675903 279.143677
000204,0.946954 19 185.572388 48.354874 303.304749 130.688675 0.850212 8 1.686282 25.876076 182.031250 279.208313
000205,0.940075 11 58.208523 274.978729 152.128052 403.357788 0.984053 14 67.462753 156.319870 210.263062 489.618713 0.918540 17 1.594987 205.398651 259.864471 472.844208
000206,0.923638 15 0.995887 319.316437 29.504498 387.667053 0.988070 14 62.137318 358.677032 124.381599 500.381897
000212,0.922140 14 318.576447 43.690777 357.889587 89.427940 0.933834 14 350.821869 47.927372 389.197205 80.241898 0.725734 14 142.672150 103.861946 209.436539 214.443130 0.755330 14 358.821350 86.467827 456.753998 166.439209 0.640390 14 0.878723 80.025833 28.171459 122.618958 0.575583 14 336.653290 48.889465 394.219055 119.871201 0.923309 14 144.406891 103.710518 206.784637 149.750366 0.504938 14 96.675262 93.898994 170.765976 226.628616 0.983625 14 244.174957 78.044327 279.579926 133.626938 0.882189 14 440.676636 52.379398 500.042328 119.630661 0.990821 14 1.328558 59.775986 198.608536 250.304642 0.622598 14 465.538116 93.369568 499.792358 174.645264 0.941431 10 115.721878 134.044998 464.361237 247.203522 0.570464 14 322.328888 87.150833 406.111023 155.384674 0.692014 14 97.015518 95.431366 145.839264 195.407593 0.552147 14 99.450432 95.204559 140.737183 145.071533 0.944303 14 284.297760 72.978424 342.911957 145.491714 0.977798 14 248.642746 101.899086 312.844025 144.571548 0.925181 14 248.970764 73.199501 341.720276 147.533997 0.583730 14 324.925110 44.765907 389.650452 92.964478 0.959341 14 323.115173 86.553040 457.613831 164.299332 0.867962 14 318.517365 43.097950 362.094849 110.746216
000213,0.930811 7 72.389656 69.308006 212.338928 264.200775
000216,0.921286 0 208.567291 126.939232 253.173737 166.790237
000217,0.635349 8 313.413757 227.520172 381.252747 332.762177 0.855480 8 368.660950 191.353043 463.596191 329.967316 0.937321 8 138.458344 222.394135 242.851608 333.220001 0.885918 4 141.135651 134.913666 159.948547 177.867538 0.523305 19 119.415718 39.698143 155.902161 90.889046 0.952264 10 135.258957 186.372925 404.725739 333.312408 0.858807 19 313.016479 71.058533 352.667450 121.668839
000223,0.949602 14 373.629150 257.820251 390.082001 303.289154 0.960196 18 160.551285 76.415955 340.822784 288.038208
000226,0.959909 8 65.331024 265.758911 206.970505 374.950867 0.929182 10 97.138443 234.576096 335.641327 309.577545 0.956193 8 255.785919 251.232727 384.748383 374.580231 0.912305 8 38.125164 224.500610 98.585609 374.054413 0.565449 8 281.110992 213.033005 367.866943 288.833374 0.965621 8 398.231506 215.622452 445.583221 304.511169 0.923441 10 89.784615 233.298447 338.398010 373.553528 0.840766 8 1.315605 213.362885 42.662033 310.679382 0.759699 14 296.705536 166.306747 356.662628 253.757675 0.983291 14 205.879333 163.297302 252.503632 227.126999 0.878937 8 330.838440 212.011856 367.572174 290.666168 0.881501 8 38.609699 224.008423 96.398026 304.602142 0.609612 8 201.303787 252.126892 385.115143 375.113556 0.843202 14 290.570801 166.389343 357.504425 281.453369
000227,0.941026 19 2.613224 38.227936 166.120941 163.824692 0.779285 7 207.743881 126.099396 333.112610 333.288422 0.892134 7 207.778564 123.925171 441.608063 341.941101
000230,0.720065 15 336.177795 -0.090642 487.123291 138.931808 0.757220 15 229.731247 0.596515 283.366852 50.457748 0.948882 1 164.651337 177.329895 389.296661 358.120819 0.992420 14 239.951447 69.904381 351.189301 356.451080
000231,0.788958 5 86.890503 142.471680 270.008148 206.990158 0.585562 5 92.848366 111.883614 273.757416 202.773956 0.989083 14 331.964081 121.583145 362.820282 229.911133 0.880713 5 135.770477 143.595810 267.313354 205.174133
000234,0.598762 15 115.184235 72.445572 214.533310 162.967896 0.777992 15 85.685829 84.440163 136.854797 157.897873 0.880415 15 12.945105 207.565842 70.868942 284.072479 0.932247 15 5.228330 83.667969 90.715347 204.093918 0.618992 15 109.028198 208.119522 144.311981 288.106384 0.894923 15 13.593977 141.596771 72.896210 205.496918 0.622751 15 95.982880 189.339325 154.639221 242.099396 0.814661 15 111.453934 91.611771 151.144821 153.231812 0.701292 15 89.606209 82.130142 165.427460 165.906357 0.975647 15 67.593201 231.541122 135.869308 311.864014 0.614991 15 80.928947 133.066376 127.315315 192.557297 0.761267 15 112.393082 92.430557 165.149841 165.183792 0.538804 15 79.677498 132.566513 125.186874 226.594620 0.965707 8 302.527008 103.078346 460.261169 323.244019
000237,0.974223 14 211.881210 35.676296 335.226654 203.437134 0.904833 12 66.822533 130.454269 273.423737 331.658356 0.561012 14 284.598602 35.806732 382.631653 212.829269 0.851508 12 63.160686 48.361988 385.142761 332.134796
000238,0.931006 18 0.953674 2.220076 242.295486 374.703156 0.989975 14 393.288391 254.996918 438.128204 374.911316
000239,0.836725 8 0.920671 189.057175 24.112106 286.325592 0.990755 14 2.096635 136.621704 31.884968 206.117416 0.555518 14 60.070320 169.264847 94.963890 235.482910 0.607249 14 65.737961 169.006485 95.546425 220.555695 0.976127 14 37.395142 167.011566 91.140587 233.082031 0.955967 5 53.700672 32.453304 473.680969 218.827820
000240,0.896333 6 158.781219 153.625549 189.797028 177.949554 0.542260 6 201.387817 171.962494 264.429962 205.791458 0.975107 14 310.885193 151.395660 334.942474 190.684631 0.960483 14 145.882599 158.635422 160.558014 191.324646 0.982638 6 52.937256 159.949020 126.698288 221.085098 0.988742 6 230.940247 174.718643 390.927948 233.883682
000243,0.952664 0 178.724472 127.320656 275.205017 192.614746
000247,0.992302 14 80.288605 141.870865 164.433823 397.901581 0.897257 14 75.311363 50.758736 170.212219 374.797821 0.942582 8 1.192423 144.793274 92.606873 322.300598
000248,0.522869 12 105.831352 68.876564 316.838196 206.679977 0.991506 14 210.876038 116.267616 293.230072 204.379272 0.833296 6 257.920380 143.569061 407.777771 218.942566
000252,0.874304 5 144.430283 40.615425 287.664124 170.040146 0.734375 14 176.082199 66.641052 213.465958 98.929550 0.987600 6 194.055756 123.467911 298.883545 181.818939 0.922930 14 237.561264 78.946602 271.585358 106.434021
000253,0.955191 18 103.582878 75.217979 348.160522 177.464172
000254,0.520141 6 152.018509 253.407272 235.853867 333.068390 0.898098 6 154.427017 254.244385 235.233246 329.458344 0.986686 6 3.051974 209.783157 187.885529 332.903900 0.841290 6 155.874466 254.981705 232.450485 304.523224 0.988805 6 191.722839 242.227020 466.009705 332.905090
000255,0.917687 7 2.649456 2.471516 420.588409 332.869843
000258,0.975392 14 353.124176 27.443724 499.128784 331.780823 0.768649 11 195.942352 121.531754 392.793121 333.089050
000260,0.923648 0 355.476501 162.531982 443.194702 209.313156 0.593490 0 4.239187 46.016514 441.897583 235.801849 0.807041 0 71.792679 45.596134 403.865814 234.588593
000261,0.960875 1 2.795666 41.125412 360.623871 217.523087
000264,0.707180 6 1.304086 2.823859 220.906982 498.006805 0.889641 14 9.901387 47.681244 208.792831 479.299469 0.966795 14 79.439537 46.523361 210.863708 477.159698 0.806104 6 153.672684 236.865189 183.401337 277.913239
000265,0.975246 14 128.412170 155.321915 239.218811 220.959122 0.766850 14 110.887337 119.540611 227.065552 221.524902 0.683803 14 111.133224 118.586327 179.245773 221.852798 0.863949 14 112.330276 119.408043 173.201462 180.007614 0.987800 14 4.149117 120.758255 127.746078 219.805038 0.813640 19 164.952301 2.369644 368.155792 98.804443 0.979877 14 261.513672 18.654257 357.221619 91.913582
000267,0.970890 12 57.067780 84.950928 214.176697 500.277527
000271,0.976593 6 413.916412 120.480812 485.587769 157.476974 0.901742 14 395.736511 144.582916 411.738708 161.159027 0.983488 14 39.537197 114.351814 59.588806 153.441666 0.985298 14 334.998047 125.474281 360.793732 153.165909
000272,0.992511 14 17.654589 71.560875 199.957626 500.502991 0.845316 4 165.702713 343.896454 199.680344 423.289368
000273,0.001000 0 0.000000 0.000000 1.000000 1.000000
000274,0.941044 2 42.920441 65.863976 345.481293 206.354187
000277,0.971944 17 21.131516 101.687370 424.410004 325.057770 0.890333 14 241.449387 88.252548 421.518585 207.175125
000279,0.979976 14 168.805573 200.904388 267.262146 324.613861 0.986310 14 68.245323 187.018402 180.970078 345.700836 0.978390 14 255.286987 191.779556 333.384521 315.461365
